wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
701.0040319;0.002471086;0.000802251;560.8088636;0.000266714;2.79772E-05;
701.1720256;0.002469202;0.000801738;561.5164075;0.000266982;2.80589E-05;
701.3399845;0.002467339;0.000801208;562.2237657;0.00026727;2.81415E-05;
701.5079087;0.002465523;0.000800668;562.9309382;0.000267577;2.82246E-05;
701.6757982;0.002463783;0.000800122;563.637925;0.000267904;2.8308E-05;
701.843653;0.002462139;0.000799576;564.3447261;0.000268248;2.83914E-05;
702.011473;0.002460585;0.000799037;565.0513414;0.000268609;2.84745E-05;
702.1792584;0.002459109;0.000798507;565.757771;0.000268985;2.85571E-05;
702.347009;0.002457697;0.000797994;566.4640147;0.000269376;2.86393E-05;
702.5147249;0.002456338;0.000797501;567.1700727;0.000269779;2.87211E-05;
702.6824061;0.002455018;0.000797033;567.8759448;0.000270194;2.88027E-05;
702.8500526;0.002453726;0.000796596;568.5816311;0.000270618;2.88841E-05;
703.0176643;0.002452452;0.000796193;569.2871315;0.000271051;2.89656E-05;
703.1852414;0.0024512;0.000795818;569.9924461;0.000271491;2.90471E-05;
703.3527838;0.002449977;0.000795464;570.6975747;0.000271938;2.91289E-05;
703.5202915;0.002448793;0.000795125;571.4025175;0.000272397;2.92115E-05;
703.6877645;0.002447653;0.000794793;572.1072743;0.000272874;2.92956E-05;
703.8552028;0.002446566;0.000794461;572.8118452;0.000273376;2.93816E-05;
704.0226065;0.002445539;0.000794123;573.5162301;0.000273909;2.94703E-05;
704.1899754;0.002444577;0.000793772;574.220429;0.000274479;2.95623E-05;
704.3573097;0.002443672;0.000793412;574.9244419;0.000275093;2.9658E-05;
704.5246093;0.002442811;0.000793045;575.6282688;0.000275758;2.97582E-05;
704.6918742;0.002441984;0.000792675;576.3319097;0.00027648;2.98637E-05;
704.8591044;0.002441179;0.000792305;577.0353645;0.00027727;2.99754E-05;
705.0263;0.002440385;0.00079194;577.7386332;0.000278134;3.00941E-05;
705.193461;0.00243959;0.000791582;578.4417158;0.000279082;3.02206E-05;
705.3605872;0.002438785;0.000791235;579.1446124;0.000280122;3.03558E-05;
705.5276788;0.002437966;0.000790897;579.8473228;0.000281258;3.05002E-05;
705.6947358;0.002437131;0.000790567;580.5498471;0.000282483;3.06531E-05;
705.8617581;0.002436277;0.000790242;581.2521852;0.000283785;3.08131E-05;
706.0287457;0.002435403;0.000789921;581.9543371;0.000285152;3.09791E-05;
706.1956987;0.002434506;0.000789602;582.6563028;0.000286573;3.115E-05;
706.3626171;0.002433583;0.000789283;583.3580824;0.000288037;3.13245E-05;
706.5295008;0.002432636;0.000788962;584.0596756;0.000289531;3.15016E-05;
706.6963499;0.002431672;0.000788639;584.7610827;0.000291044;3.16798E-05;
706.8631643;0.002430701;0.000788313;585.4623035;0.000292554;3.18572E-05;
707.0299441;0.002429733;0.000787985;586.163338;0.000294041;3.20318E-05;
707.1966893;0.002428777;0.000787652;586.8641861;0.000295484;3.22015E-05;
707.3633999;0.002427845;0.000787316;587.564848;0.00029686;3.23641E-05;
707.5300758;0.002426947;0.000786976;588.2653235;0.000298148;3.25177E-05;
707.6967172;0.002426083;0.000786631;588.9656127;0.000299326;3.26602E-05;
707.8633239;0.002425227;0.000786281;589.6657155;0.00030038;3.279E-05;
708.029896;0.002424343;0.000785926;590.3656319;0.000301316;3.29085E-05;
708.1964334;0.002423394;0.000785564;591.0653619;0.000302144;3.30173E-05;
708.3629363;0.002422346;0.000785197;591.7649055;0.000302878;3.31182E-05;
708.5294046;0.002421162;0.000784821;592.4642626;0.000303529;3.32131E-05;
708.6958383;0.002419807;0.000784439;593.1634333;0.000304109;3.33037E-05;
708.8622374;0.00241826;0.000784049;593.8624175;0.000304629;3.33917E-05;
709.0286018;0.002416561;0.000783657;594.5612152;0.000305099;3.34785E-05;
709.1949317;0.002414763;0.000783269;595.2598264;0.000305529;3.35655E-05;
709.361227;0.00241292;0.000782889;595.958251;0.00030593;3.36539E-05;
709.5274878;0.002411084;0.000782524;596.6564891;0.00030631;3.37452E-05;
709.6937139;0.002409311;0.000782179;597.3545407;0.00030668;3.38406E-05;
709.8599055;0.002407653;0.00078186;598.0524056;0.000307049;3.39415E-05;
710.0260624;0.002406152;0.00078157;598.7500839;0.000307426;3.40487E-05;
710.1921848;0.002404807;0.000781304;599.4475757;0.000307814;3.41615E-05;
710.3582727;0.002403605;0.000781053;600.1448807;0.000308216;3.42789E-05;
710.5243259;0.002402533;0.00078081;600.8419992;0.000308634;3.43996E-05;
710.6903447;0.002401577;0.000780567;601.5389309;0.000309071;3.45226E-05;
710.8563288;0.002400726;0.000780316;602.235676;0.000309528;3.46466E-05;
